label	conc	num_prompts	warmups	wall_s	t0	t1	detailed
sweep_c1	1	10	2	63.1	1780811587.415448858	1780811650.509192887	no
sweep_c2	2	20	4	73.9	1780811650.535818216	1780811724.437626213	no
sweep_c4	4	40	8	94.5	1780811724.463573255	1780811818.949890941	no
sweep_c8	8	80	16	130.7	1780811818.974862055	1780811949.696756094	no
sweep_c16	16	160	32	191.6	1780811949.721990628	1780812141.291424361	no
sweep_c32	32	320	64	297.0	1780812141.315282412	1780812438.352621597	no
sweep_c64	64	640	128	491.4	1780812438.378685450	1780812929.768103893	no
sweep_c128	128	1280	256	849.3	1780812929.794461819	1780813779.102414344	no
sweep_c256	256	2560	512	1633.3	1780813779.128868855	1780815412.431978454	no
gt_c64	64	2560	128	1689.6	1780815412.471284073	1780817102.072423294	detailed
cf_c64_b1_r1	64	64	128	130.2	1780817102.101893605	1780817232.327056933	no
cf_c64_b1_r2	64	64	128	130.6	1780817232.352925694	1780817362.908325487	no
cf_c64_b1_r3	64	64	128	130.5	1780817362.934471532	1780817493.436588486	no
cf_c64_b1_r4	64	64	128	130.9	1780817493.462975672	1780817624.339687510	no
cf_c64_b1_r5	64	64	128	131.3	1780817624.365676999	1780817755.632197482	no
cf_c64_b2_r1	64	128	128	174.5	1780817755.659621351	1780817930.178557881	no
cf_c64_b2_r2	64	128	128	174.5	1780817930.204188737	1780818104.688172256	no
cf_c64_b2_r3	64	128	128	175.1	1780818104.714078381	1780818279.776544601	no
cf_c64_b2_r4	64	128	128	173.3	1780818279.802935446	1780818453.140092795	no
cf_c64_b2_r5	64	128	128	173.7	1780818453.166052196	1780818626.845299917	no
cf_c64_b5_r1	64	320	128	288.9	1780818626.872253882	1780818915.724348945	no
cf_c64_b5_r2	64	320	128	288.7	1780818915.750866298	1780819204.403062089	no
cf_c64_b5_r3	64	320	128	289.1	1780819204.429056155	1780819493.519546122	no
cf_c64_b5_r4	64	320	128	289.2	1780819493.547871932	1780819782.779576809	no
cf_c64_b5_r5	64	320	128	288.6	1780819782.804374998	1780820071.366201018	no
cf_c64_b10_r1	64	640	128	492.4	1780820071.392785377	1780820563.812910153	no
cf_c64_b10_r2	64	640	128	492.8	1780820563.839202475	1780821056.672524936	no
cf_c64_b10_r3	64	640	128	491.1	1780821056.698227612	1780821547.796270943	no
cf_c64_b10_r4	64	640	128	490.5	1780821547.821012021	1780822038.316925278	no
cf_c64_b10_r5	64	640	128	491.9	1780822038.342916306	1780822530.279655295	no
gt_c4	4	400	8	719.1	1780822530.305459991	1780823249.418182513	detailed
cf_c4_b1_r1	4	4	8	32.1	1780823249.446022781	1780823281.577487033	no
cf_c4_b1_r2	4	4	8	32.0	1780823281.602697641	1780823313.559841204	no
cf_c4_b1_r3	4	4	8	32.5	1780823313.585523660	1780823346.121472296	no
cf_c4_b1_r4	4	4	8	32.3	1780823346.147545038	1780823378.470187659	no
cf_c4_b1_r5	4	4	8	31.5	1780823378.496576185	1780823409.969253663	no
cf_c4_b2_r1	4	8	8	37.6	1780823409.996932505	1780823447.642987718	no
cf_c4_b2_r2	4	8	8	37.4	1780823447.669466893	1780823485.039107702	no
cf_c4_b2_r3	4	8	8	37.4	1780823485.065216052	1780823522.508070332	no
cf_c4_b2_r4	4	8	8	37.0	1780823522.533997063	1780823559.559634650	no
cf_c4_b2_r5	4	8	8	37.7	1780823559.586156744	1780823597.263611198	no
cf_c4_b5_r1	4	20	8	60.3	1780823597.291442327	1780823657.593220106	no
cf_c4_b5_r2	4	20	8	59.8	1780823657.619041729	1780823717.454360863	no
cf_c4_b5_r3	4	20	8	59.9	1780823717.480188877	1780823777.346854065	no
cf_c4_b5_r4	4	20	8	60.0	1780823777.373060215	1780823837.333369458	no
cf_c4_b5_r5	4	20	8	59.9	1780823837.359206051	1780823897.271797435	no
cf_c4_b10_r1	4	40	8	95.6	1780823897.299337516	1780823992.915527307	no
cf_c4_b10_r2	4	40	8	94.8	1780823992.941872588	1780824087.698739920	no
cf_c4_b10_r3	4	40	8	95.3	1780824087.725062345	1780824183.004715445	no
cf_c4_b10_r4	4	40	8	95.1	1780824183.030123982	1780824278.081213060	no
cf_c4_b10_r5	4	40	8	95.3	1780824278.107275733	1780824373.450200107	no
gt_c256	256	3840	512	2336.1	1780838698.905433523	1780841035.042282765	detailed
cf_c256_b1_r1	256	256	512	434.7	1780841035.071756073	1780841469.796464420	no
cf_c256_b1_r2	256	256	512	434.4	1780841469.822074983	1780841904.268030523	no
cf_c256_b1_r3	256	256	512	435.1	1780841904.293689760	1780842339.349143546	no
cf_c256_b2_r1	256	512	512	552.2	1780842339.375920469	1780842891.605925284	no
cf_c256_b2_r2	256	512	512	552.6	1780842891.631397741	1780843444.215619773	no
cf_c256_b2_r3	256	512	512	552.4	1780843444.241995044	1780843996.609553553	no
cf_c256_b5_r1	256	1280	512	953.6	1780843996.636167780	1780844950.229403138	no
cf_c256_b5_r2	256	1280	512	949.5	1780844950.254852932	1780845899.789227804	no
cf_c256_b5_r3	256	1280	512	951.7	1780845899.815206808	1780846851.557105408	no
cf_c256_b10_r1	256	2560	512	1634.7	1780846851.583790440	1780848486.310067373	no
cf_c256_b10_r2	256	2560	512	1634.2	1780848486.336643535	1780850120.550755040	no
cf_c256_b10_r3	256	2560	512	1634.4	1780850120.576359649	1780851754.993473807	no
